stateCode,facilityName,facilityId,unitId,associatedStacks,year,countOpTime,sumOpTime,grossLoad,steamLoad,so2Mass,so2Rate,co2Mass,co2Rate,noxMass,noxRate,heatInput,primaryFuelInfo,secondaryFuelInfo,unitType,so2ControlInfo,noxControlInfo,pmControlInfo,hgControlInfo,programCodeInfo
TX,Copper Station,9,CTG-1,,2021,1143,1034.93,31654.73,,,,,,68.534,0.2358,567476.404,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,CSOSG2
AL,Greene County,10,1,CS0EBN,2021,5527,5518.5,446281.5,,1.325,0.001,262363.425,0.059,255.362,0.1109,4414735.1,Pipeline Natural Gas,,Cell burner boiler,,Low NOx Cell Burner,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,Greene County,10,2,CS0EBN,2021,3951,3943.25,302707.0,,0.922,0.001,182594.9,0.059,177.379,0.1117,3072540.225,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only),,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,Greene County,10,CT10,,2021,189,152.0,7931.75,,0.595,0.0075,7913.695,0.1283,4.618,0.0851,109338.175,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,Greene County,10,CT2,,2021,296,251.75,13666.5,,0.091,0.0014,12368.206,0.1021,6.927,0.0747,187988.4,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,Greene County,10,CT3,,2021,302,250.25,13469.5,,0.64,0.0062,12576.509,0.1205,6.268,0.0701,183147.375,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,Greene County,10,CT4,,2021,195,164.5,8733.0,,0.39,0.0062,8154.509,0.1149,4.778,0.0806,118981.1,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,Greene County,10,CT5,,2021,241,191.0,9879.5,,0.167,0.0025,9428.307,0.1493,4.345,0.0677,137022.975,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,Greene County,10,CT6,,2021,40,33.25,1761.25,,0.02,0.0018,1668.903,0.0974,0.831,0.0707,24127.95,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,Greene County,10,CT7,,2021,101,81.25,4234.0,,0.366,0.0103,4453.691,0.1216,2.798,0.0951,58810.85,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,Greene County,10,CT8,,2021,98,81.5,4382.25,,0.256,0.0075,4214.593,0.1224,2.455,0.0838,59666.975,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,Greene County,10,CT9,,2021,33,24.25,1200.75,,0.03,0.0024,1198.802,0.1837,0.577,0.0713,16854.05,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,E C Gaston,26,1,CS0CAN,2021,3133,3127.25,228405.25,,15.165,0.0151,140653.366,0.059,109.303,0.0845,2372720.4,Pipeline Natural Gas,Coal,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,E C Gaston,26,2,CS0CAN,2021,3605,3601.0,265975.0,,118.79,0.0609,173175.909,0.0606,157.058,0.0964,2802317.0,Pipeline Natural Gas,Coal,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only),"Baghouse,Electrostatic Precipitator",,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,E C Gaston,26,3,CS0CBN,2021,3694,3690.5,323795.25,,17.253,0.015,201227.186,0.059,180.666,0.0945,3394546.1,Pipeline Natural Gas,Coal,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only),"Baghouse,Electrostatic Precipitator",,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,E C Gaston,26,4,CS0CBN,2021,2370,2361.5,187819.0,,9.196,0.0111,113239.415,0.059,106.35,0.1037,1910260.85,Pipeline Natural Gas,Coal,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,E C Gaston,26,5,"MS5A, MS5B",2021,5531,5516.0,3733370.0,,856.992,0.065,3899267.725,0.094,2196.674,0.1042,39517761.325,Coal,Pipeline Natural Gas,Tangentially-fired,Wet Limestone,"Low NOx Burner Technology w/ Separated OFA,Selective Catalytic Reduction","Baghouse,Electrostatic Precipitator","Halogenated PAC Sorbent Injection,Catalyst (gold, palladium, or other) used to oxidize mercury","ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
AL,Colbert,47,CCT1,,2021,38,38.0,1357.0,,0.528,0.0703,1141.9,0.0622,3.891,0.4253,18578.7,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CSNOX, CSOSG2, CSSO2G2"
AL,Colbert,47,CCT2,,2021,36,36.0,1345.0,,0.491,0.0579,1121.4,0.0615,3.817,0.4193,18289.9,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CSNOX, CSOSG2, CSSO2G2"
AL,Colbert,47,CCT3,,2021,58,58.0,1952.0,,0.283,0.0272,1604.7,0.0601,5.383,0.4046,26795.4,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CSNOX, CSOSG2, CSSO2G2"
AL,Colbert,47,CCT4,,2021,46,46.0,1383.0,,0.277,0.0521,1168.6,0.0613,3.932,0.4165,19398.0,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CSNOX, CSOSG2, CSSO2G2"
AL,Colbert,47,CCT5,,2021,44,44.0,1739.0,,0.518,0.0497,1439.2,0.0611,4.876,0.4153,23630.6,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CSNOX, CSOSG2, CSSO2G2"
AL,Colbert,47,CCT6,,2021,82,82.0,4137.0,,0.683,0.0384,3280.4,0.0607,11.019,0.4099,54598.2,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CSNOX, CSOSG2, CSSO2G2"
AL,Colbert,47,CCT7,,2021,83,83.0,4099.0,,0.844,0.0522,3335.8,0.0613,11.237,0.4165,55309.3,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CSNOX, CSOSG2, CSSO2G2"
AL,Colbert,47,CCT8,,2021,82,82.0,3955.0,,0.773,0.0389,3203.2,0.0607,10.78,0.4101,53156.3,Pipeline Natural Gas,Diesel Oil,Combustion turbine,,,,,"CSNOX, CSOSG2, CSSO2G2"
LA,Dolet Hills Power Station,51,1,,2021,3792,3773.57,1201780.5,,5102.658,0.7223,1408050.192,0.1089,1969.6,0.2747,12933398.726,Coal,,Dry bottom wall-fired boiler,Wet Limestone,"Low NOx Burner Technology w/ Overfire Air,Selective Non-catalytic Reduction",Baghouse,Untreated PAC Sorbent Injection,"ARP, CSOSG3, MATS"
KY,Smith Generating Facility,54,SCT1,,2021,774,653.23,57870.73,,0.539,0.0017,47241.72,0.0595,23.472,0.0709,788923.284,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,Smith Generating Facility,54,SCT10,,2021,2631,2368.43,146616.84,,0.421,0.001,83416.456,0.0591,8.448,0.0143,1403629.131,Pipeline Natural Gas,,Combustion turbine,,"Water Injection,Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,Smith Generating Facility,54,SCT2,,2021,648,550.75,49856.99,,0.371,0.0016,40940.031,0.0594,22.538,0.0733,685430.395,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,Smith Generating Facility,54,SCT3,,2021,680,580.41,51091.94,,0.278,0.0013,41000.415,0.0592,26.228,0.0863,688453.594,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,Smith Generating Facility,54,SCT4,,2021,938,779.48,43788.77,,0.2,0.0012,36375.198,0.0592,10.614,0.0437,611691.123,Pipeline Natural Gas,Residual Oil,Combustion turbine,,"Dry Low NOx Burners,Water Injection",,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,Smith Generating Facility,54,SCT5,,2021,878,738.8,41164.94,,0.209,0.0012,33102.209,0.0592,9.235,0.0418,556044.728,Pipeline Natural Gas,Residual Oil,Combustion turbine,,"Dry Low NOx Burners,Water Injection",,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,Smith Generating Facility,54,SCT6,,2021,977,824.73,45827.54,,0.2,0.0011,37111.4,0.0591,10.957,0.0442,624199.64,Pipeline Natural Gas,Residual Oil,Combustion turbine,,"Dry Low NOx Burners,Water Injection",,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,Smith Generating Facility,54,SCT7,,2021,958,808.62,45042.07,,0.197,0.0011,36622.07,0.0591,9.704,0.0395,615925.871,Pipeline Natural Gas,Residual Oil,Combustion turbine,,"Dry Low NOx Burners,Water Injection",,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,Smith Generating Facility,54,SCT9,,2021,1967,1778.67,107801.96,,0.309,0.001,61142.497,0.0591,6.251,0.0146,1028839.253,Pipeline Natural Gas,,Combustion turbine,,"Water Injection,Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KS,Holcomb,108,SGU1,,2021,7208,7196.26,1754182.74,,1176.131,0.1418,1772208.862,0.105,1569.527,0.1792,16897500.34,Coal,,Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology (Dry Bottom only),Baghouse,,"ARP, CSNOX, CSOSG2, CSSO2G2, MATS"
OK,Grand River Dam Authority,165,1,,2021,0,0.0,,,,,,,,,,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,,Overfire Air,Electrostatic Precipitator,,"ARP, CSOSG2, MATS"
OK,Grand River Dam Authority,165,2,,2021,5250,5211.84,1359929.59,,1345.461,0.2333,1738538.162,0.0995,1308.266,0.144,16826710.626,Coal,"Diesel Oil, Pipeline Natural Gas",Dry bottom wall-fired boiler,Dry Lime FGD,Low NOx Burner Technology w/ Overfire Air,Baghouse,Untreated PAC Sorbent Injection,"ARP, CSOSG2, MATS"
OK,Grand River Dam Authority,165,3,,2021,5164,5136.47,1853486.85,,3.658,0.001,724685.999,0.059,156.594,0.0262,12194254.015,Pipeline Natural Gas,,Combined cycle,,Selective Catalytic Reduction,,,"ARP, CSOSG2"
AR,Lake Catherine,170,4,,2021,1429,1422.25,208000.58,,0.659,0.001,130551.099,0.0591,261.73,0.1923,2196777.999,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,,,,"ARP, CSOSG2"
AR,Thomas Fitzhugh,201,2,,2021,2115,2068.99,244206.97,,27.105,0.0228,132866.408,0.0609,89.298,0.0835,2161184.959,Pipeline Natural Gas,Diesel Oil,Combined cycle,,"Dry Low NOx Burners,Water Injection",,,"ARP, CSOSG2"
AR,Carl Bailey,202,01,,2021,0,0.0,,,,,,,,,,Pipeline Natural Gas,Residual Oil,Dry bottom wall-fired boiler,,,,,"ARP, CSOSG2"
AR,McClellan,203,01,,2021,545,531.94,,168471.66,70.158,0.306,17643.913,0.0656,32.69,0.2054,257322.912,Pipeline Natural Gas,Residual Oil,Dry bottom wall-fired boiler,,,,,"ARP, CSOSG2"
TX,Limestone,298,LIM1,,2021,4228,4222.3,2665867.26,,2304.662,0.1693,2764770.635,0.1044,1894.24,0.1463,26368954.976,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
TX,Limestone,298,LIM2,,2021,5562,5544.47,3590156.71,,2799.287,0.146,3773857.69,0.1032,3211.318,0.173,36013523.116,Coal,,Tangentially-fired,Wet Limestone,Overfire Air,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSOSG2, MATS, TXSO2"
IL,Joliet 29,384,71,CS7172,2021,1463,1447.0,212148.5,,0.639,0.001,126201.653,0.0584,92.447,0.0779,2128932.825,Pipeline Natural Gas,,Tangentially-fired,,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG3, CSSO2G1"
IL,Joliet 29,384,72,CS7172,2021,1461,1447.0,216620.0,,0.653,0.001,128869.673,0.0588,94.315,0.0783,2173930.925,Pipeline Natural Gas,,Tangentially-fired,,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG3, CSSO2G1"
IL,Joliet 29,384,81,CS8182,2021,1222,1200.75,143890.75,,0.468,0.001,92690.502,0.0589,78.608,0.0909,1563597.75,Pipeline Natural Gas,,Tangentially-fired,,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG3, CSSO2G1"
IL,Joliet 29,384,82,CS8182,2021,1220,1198.25,159083.5,,0.513,0.001,101549.628,0.0589,86.666,0.091,1713045.85,Pipeline Natural Gas,,Tangentially-fired,,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG3, CSSO2G1"
AL,McWilliams,533,**4,,2021,3113,2947.44,281697.83,,0.931,0.0011,171721.276,0.0591,62.599,0.0455,2887600.597,Pipeline Natural Gas,Diesel Oil,Combined cycle,,"Dry Low NOx Burners,Water Injection",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,McWilliams,533,**V1,,2021,7513,7470.48,1194785.2,,3.739,0.001,740715.867,0.059,71.26,0.0123,12463975.209,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
AL,McWilliams,533,**V2,,2021,7929,7919.68,1269220.52,,3.981,0.001,788675.992,0.059,74.386,0.0115,13270987.418,Pipeline Natural Gas,,Combined cycle,,"Dry Low NOx Burners,Selective Catalytic Reduction",,,"ARP, CSNOX, CSOSG2, CSSO2G2"
MD,Brandon Shores,602,1,,2021,3512,3488.26,1421692.68,,757.958,0.0875,1445465.554,0.1029,553.396,0.0853,14088370.828,Coal,,Dry bottom wall-fired boiler,Wet Lime FGD,"Low NOx Burner Technology w/ Overfire Air,Selective Catalytic Reduction","Cyclone,Baghouse",,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS, RGGI"
MD,Brandon Shores,602,2,,2021,3565,3544.58,1443639.68,,719.002,0.0872,1401378.487,0.103,551.458,0.0902,13658670.461,Coal,,Dry bottom wall-fired boiler,Wet Limestone,"Low NOx Burner Technology w/ Overfire Air,Selective Catalytic Reduction","Cyclone,Baghouse",,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS, RGGI"
OK,Ponca,762,2,,2021,0,0.0,,,,,,,,,,Pipeline Natural Gas,,Dry bottom wall-fired boiler,,,,,"ARP, CSOSG2"
OK,Ponca,762,3,,2021,353,331.71,13211.17,,0.035,0.001,7014.07,0.0592,4.924,0.091,118049.098,Pipeline Natural Gas,Diesel Oil,Combined cycle,,Water Injection,,,"ARP, CSOSG2"
OK,Ponca,762,4,,2021,289,272.67,8872.17,,0.028,0.001,5540.088,0.059,3.028,0.0659,93210.491,Pipeline Natural Gas,,Combustion turbine,,Water Injection,,,"ARP, CSOSG2"
IL,E D Edwards,856,2,,2021,7843,7832.76,1434888.36,,3113.497,0.4331,1504490.714,0.105,1443.563,0.2042,14344891.195,Coal,,Dry bottom wall-fired boiler,,Low NOx Burner Technology (Dry Bottom only),Electrostatic Precipitator,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
IL,E D Edwards,856,3,,2021,6750,6724.5,1493272.03,,2868.979,0.4213,1421388.042,0.105,929.413,0.1381,13552493.393,Coal,,Dry bottom wall-fired boiler,,"Low NOx Burner Technology (Dry Bottom only),Selective Catalytic Reduction,Low NOx Burner Technology w/ Overfire Air",Electrostatic Precipitator,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
IL,"Grand Tower Energy Center, LLC",862,CT01,,2021,0,0.0,,,,,,,,,,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
IL,"Grand Tower Energy Center, LLC",862,CT02,,2021,0,0.0,,,,,,,,,,Pipeline Natural Gas,,Combined cycle,,Dry Low NOx Burners,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
IL,Joliet 9,874,5,,2021,418,415.25,3550.0,,0.019,0.0003,4490.675,0.0594,2.057,0.0137,75735.7,Pipeline Natural Gas,,Cyclone boiler,,"Combustion Modification/Fuel Reburning,Overfire Air,Selective Non-catalytic Reduction",Electrostatic Precipitator,,"ARP, CSNOX, CSOSG3, CSSO2G1"
IL,Kincaid Generating Station,876,1,CS0102,2021,4626,4603.81,1827424.53,,808.094,0.0905,1821434.725,0.105,329.266,0.0444,17366841.551,Coal,,Cyclone boiler,Dry Sorbent Injection,"Overfire Air,Selective Catalytic Reduction",Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
IL,Kincaid Generating Station,876,2,CS0102,2021,6003,5978.46,2452763.36,,1083.278,0.088,2442171.221,0.105,483.117,0.0505,23285397.492,Coal,,Cyclone boiler,Dry Sorbent Injection,"Overfire Air,Selective Catalytic Reduction",Electrostatic Precipitator,Additives to Enhance PAC and Existing Equipment Performance,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
IL,Powerton,879,51,CS0506,2021,3865,3842.25,1123907.0,,691.811,0.1072,1332631.682,0.106,649.968,0.1116,12529226.425,Coal,,Cyclone boiler,,"Overfire Air,Selective Non-catalytic Reduction",Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
IL,Powerton,879,52,CS0506,2021,3151,3137.0,940033.0,,557.662,0.1054,1089440.782,0.106,507.686,0.0971,10242787.45,Coal,,Cyclone boiler,,"Overfire Air,Selective Non-catalytic Reduction",Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
IL,Powerton,879,61,CS0506,2021,1923,1908.0,490124.25,,304.48,0.1428,585252.873,0.1058,293.957,0.34,5502463.7,Coal,,Cyclone boiler,Dry Sorbent Injection,"Overfire Air,Selective Non-catalytic Reduction",Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
IL,Powerton,879,62,CS0506,2021,1650,1643.0,462681.5,,277.624,0.1057,540809.708,0.106,257.765,0.0972,5084618.675,Coal,,Cyclone boiler,Dry Sorbent Injection,"Overfire Air,Selective Non-catalytic Reduction",Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
IL,Waukegan,883,311,,2021,2,1.47,,,0.203,0.5,65.8,0.081,0.487,1.2,812.3,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG3, CSSO2G1"
IL,Waukegan,883,312,,2021,2,1.55,,,0.214,0.5,69.3,0.081,0.514,1.2,856.5,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG3, CSSO2G1"
IL,Waukegan,883,321,,2021,2,1.42,,,0.196,0.5,63.6,0.081,0.471,1.2,784.7,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG3, CSSO2G1"
IL,Waukegan,883,322,,2021,2,1.4,,,0.193,0.5,62.7,0.081,0.464,1.2,773.6,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG3, CSSO2G1"
IL,Waukegan,883,7,,2021,4421,4408.25,1023401.5,,500.865,0.0887,1106569.7,0.105,579.679,0.1084,10522238.025,Coal,,Tangentially-fired,Dry Sorbent Injection,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
IL,Waukegan,883,8,,2021,5070,5059.5,1279548.0,,762.582,0.1031,1486943.525,0.106,855.452,0.1196,13980030.925,Coal,,Tangentially-fired,,Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
IL,Will County,884,4,,2021,2511,2503.0,775025.5,,481.817,0.1142,882900.875,0.1059,397.215,0.0986,8359148.45,Coal,,Tangentially-fired,,"Low NOx Burner Technology w/ Closed-coupled/Separated OFA,Selective Non-catalytic Reduction",Electrostatic Precipitator,Halogenated PAC Sorbent Injection,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
IL,Fisk,886,311,,2021,15,7.65,,,0.917,0.5001,297.0,0.081,2.2,1.2,3666.5,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG3, CSSO2G1"
IL,Fisk,886,312,,2021,15,7.84,,,0.94,0.5001,304.5,0.0811,2.255,1.2001,3757.5,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG3, CSSO2G1"
IL,Fisk,886,321,,2021,19,7.71,,,0.924,0.5002,299.2,0.081,2.217,1.2001,3695.4,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG3, CSSO2G1"
IL,Fisk,886,322,,2021,16,7.73,,,0.926,0.5001,299.9,0.0811,2.223,1.2002,3704.9,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG3, CSSO2G1"
IL,Fisk,886,331,,2021,10,5.0,,,0.599,0.5,193.9,0.081,1.438,1.2,2396.4,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG3, CSSO2G1"
IL,Fisk,886,332,,2021,14,7.64,,,0.916,0.5001,296.4,0.081,2.197,1.2,3661.8,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG3, CSSO2G1"
IL,Fisk,886,341,,2021,0,0.0,,,,,,,,,,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG3, CSSO2G1"
IL,Fisk,886,342,,2021,7,3.23,,,0.387,0.5001,125.3,0.081,0.929,1.2,1548.1,Diesel Oil,,Combustion turbine,,,,,"CSNOX, CSOSG3, CSSO2G1"
IL,Joppa Steam,887,1,CS1,2021,7951,7928.82,933664.39,,2234.594,0.4838,966322.033,0.1048,579.785,0.1283,9215272.69,Coal,Pipeline Natural Gas,Tangentially-fired,,Low NOx Burner Technology w/ Closed-coupled OFA,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
IL,Joppa Steam,887,2,CS1,2021,7677,7651.29,920507.88,,2178.58,0.4838,941995.014,0.1049,568.395,0.1286,8986733.467,Coal,Pipeline Natural Gas,Tangentially-fired,,Low NOx Burner Technology w/ Closed-coupled OFA,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
IL,Joppa Steam,887,3,CS2,2021,7626,7605.68,898390.35,,2112.628,0.466,945971.436,0.1049,532.407,0.1218,9024677.451,Coal,Pipeline Natural Gas,Tangentially-fired,,Low NOx Burner Technology w/ Closed-coupled OFA,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
IL,Joppa Steam,887,4,CS2,2021,7616,7591.85,966115.39,,2237.659,0.4653,1004313.655,0.1048,574.288,0.1244,9577328.35,Coal,Pipeline Natural Gas,Tangentially-fired,,Low NOx Burner Technology w/ Closed-coupled OFA,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
IL,Joppa Steam,887,5,CS3,2021,7373,7344.26,906939.89,,2225.001,0.4556,1014880.629,0.105,537.188,0.1132,9676582.856,Coal,,Tangentially-fired,,Low NOx Burner Technology w/ Closed-coupled OFA,Electrostatic Precipitator,,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
